round,institute,program,stream,quota,category,seat_type,Predicted_Opening_Rank,Predicted_Closing_Rank
Round 1,"Global Institute of Management and Technology, Krishnanagar, Nadia",Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,36226,37349
Round 2,"Global Institute of Management and Technology, Krishnanagar, Nadia",Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,41984,42762
Round 3,"Global Institute of Management and Technology, Krishnanagar, Nadia",Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,41028,42204
Round 1,"Global Institute of Management and Technology, Krishnanagar, Nadia",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,29156,53453
Round 1,"Global Institute of Management and Technology, Krishnanagar, Nadia",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,JEE(Main) Seats,201987,442850
Round 1,"Global Institute of Management and Technology, Krishnanagar, Nadia",Electrical Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,33248,35438
Round 2,"Global Institute of Management and Technology, Krishnanagar, Nadia",Electrical Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,46379,46657
Round 3,"Global Institute of Management and Technology, Krishnanagar, Nadia",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,43033,54357
Round 1,"Global Institute of Management and Technology, Krishnanagar, Nadia",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,55268,60833
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,5770,7653
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,8409,12650
Round 3,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,23706,29412
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,7567,9852
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,10557,13713
Round 3,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,18054,20557
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A (PwD),WBJEE Seats,73459,73668
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,4816,5635
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,5959,6625
Round 3,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,5441,5797
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,2143,4744
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,2822,5628
Round 3,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,2341,4141
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,35441,48223
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,67355,67853
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,8492,14105
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,14145,15898
Round 3,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,13369,13863
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,31529,47745
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,51794,58030
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,3108,3912
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,4695,4775
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,7543,9200
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,14672,16064
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,8639,11663
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,14928,16812
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,6228,6559
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,7540,8429
Round 3,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,6758,7086
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,4624,5766
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,5586,6641
Round 3,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,4351,5352
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,75424,75593
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,91129,91129
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,11356,15970
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,16727,18341
Round 3,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,15244,16036
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,53081,56436
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,70184,79736
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,4894,5250
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,6037,6203
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,5220,5477
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,6233,6785
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,16739,22913
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,45087,52755
Round 3,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,46569,48389
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,17746,23543
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,28837,34219
Round 3,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,40086,44095
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,16028,16968
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,18723,19341
Round 3,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,14057,14306
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,3188,13942
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,10954,16335
Round 3,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,8313,12285
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,90585,90755
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,17313,27200
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,24612,30062
Round 3,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,26572,30432
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,35706,57566
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,76938,79281
Round 3,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,70325,71110
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,10132,10226
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,11413,11421
Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,13066,13174
Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,14726,14990
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,9145,11391
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,15929,17827
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,8839,13092
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,15554,19283
Round 3,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,18489,25449
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,7741,8845
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,9016,10415
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,3665,7330
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,6791,8801
Round 3,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,4994,6379
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,64518,65826
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,95290,95379
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,12450,16922
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,17065,19502
Round 3,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,15721,16326
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,49819,61198
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,68646,70264
Round 3,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,77004,77413
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,6093,6616
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,7961,8288
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,11963,14959
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,24885,30288
Round 3,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,51896,54455
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,11970,15172
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,21213,26260
Round 3,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,34387,38419
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,10248,11044
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,13386,14349
Round 3,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,12535,12870
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,5768,10197
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,9602,12270
Round 3,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,7451,10556
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,16260,20703
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,23176,25905
Round 3,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,17192,18993
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,77083,80127
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,94862,95772
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,6704,7722
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,6422,7145
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,11184,11505
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,18392,26279
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,32760,49828
Round 3,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,63523,68933
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,16410,21070
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,24434,28657
Round 3,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,35447,38042
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,14731,15137
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,18266,20139
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,9316,14304
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,13955,17664
Round 3,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,11325,15149
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,21824,26407
Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,28085,31068
Round 3,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,29987,32224
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,67177,84281
